s1,s2,s3
0.6764705882352942,0.3333333333333333,0.6792452830188679
0.6272727272727273,0.5652173913043478,0.8301886792452831
0.5584415584415584,0.75,0.7735849056603774
0.4939759036144578,0.7777777777777778,0.5283018867924528
0.5038910505836576,0.65,0.7924528301886793
0.38461538461538464,0.5,0.49056603773584906
0.7058823529411765,1.0,0.9811320754716981
0.7638888888888888,1.0,0.8490566037735849
0.37349397590361444,0.4375,0.6226415094339622
0.6794871794871795,0.6666666666666666,0.8301886792452831
